A	ascii.png^[sheet:16x16:1,4	8	8	2
B	ascii.png^[sheet:16x16:2,4	8	8	2
C	ascii.png^[sheet:16x16:3,4	8	8	2
D	ascii.png^[sheet:16x16:4,4	8	8	2
E	ascii.png^[sheet:16x16:5,4	8	8	2
F	ascii.png^[sheet:16x16:6,4	8	8	2
G	ascii.png^[sheet:16x16:7,4	8	8	2
H	ascii.png^[sheet:16x16:8,4	8	8	2
I	ascii.png^[sheet:16x16:9,4	8	8	4
J	ascii.png^[sheet:16x16:10,4	8	8	2
K	ascii.png^[sheet:16x16:11,4	8	8	2
L	ascii.png^[sheet:16x16:12,4	8	8	2
M	ascii.png^[sheet:16x16:13,4	8	8	2
N	ascii.png^[sheet:16x16:14,4	8	8	2
O	ascii.png^[sheet:16x16:15,4	8	8	2
P	ascii.png^[sheet:16x16:0,5	8	8	2
Q	ascii.png^[sheet:16x16:1,5	8	8	2
R	ascii.png^[sheet:16x16:2,5	8	8	2
S	ascii.png^[sheet:16x16:3,5	8	8	2
T	ascii.png^[sheet:16x16:4,5	8	8	2
U	ascii.png^[sheet:16x16:5,5	8	8	2
V	ascii.png^[sheet:16x16:6,5	8	8	2
W	ascii.png^[sheet:16x16:7,5	8	8	2
X	ascii.png^[sheet:16x16:8,5	8	8	2
Y	ascii.png^[sheet:16x16:9,5	8	8	2
Z	ascii.png^[sheet:16x16:10,5	8	8	2
a	ascii.png^[sheet:16x16:1,6	8	8	2
b	ascii.png^[sheet:16x16:2,6	8	8	2
c	ascii.png^[sheet:16x16:3,6	8	8	2
d	ascii.png^[sheet:16x16:4,6	8	8	2
e	ascii.png^[sheet:16x16:5,6	8	8	2
f	ascii.png^[sheet:16x16:6,6	8	8	3
g	ascii.png^[sheet:16x16:7,6	8	8	2
h	ascii.png^[sheet:16x16:8,6	8	8	2
i	ascii.png^[sheet:16x16:9,6	8	8	6
j	ascii.png^[sheet:16x16:10,6	8	8	2
k	ascii.png^[sheet:16x16:11,6	8	8	3
l	ascii.png^[sheet:16x16:12,6	8	8	5
m	ascii.png^[sheet:16x16:13,6	8	8	2
n	ascii.png^[sheet:16x16:14,6	8	8	2
o	ascii.png^[sheet:16x16:15,6	8	8	2
p	ascii.png^[sheet:16x16:0,7	8	8	2
q	ascii.png^[sheet:16x16:1,7	8	8	2
r	ascii.png^[sheet:16x16:2,7	8	8	2
s	ascii.png^[sheet:16x16:3,7	8	8	2
t	ascii.png^[sheet:16x16:4,7	8	8	4
u	ascii.png^[sheet:16x16:5,7	8	8	2
v	ascii.png^[sheet:16x16:6,7	8	8	2
w	ascii.png^[sheet:16x16:7,7	8	8	2
x	ascii.png^[sheet:16x16:8,7	8	8	2
y	ascii.png^[sheet:16x16:9,7	8	8	2
z	ascii.png^[sheet:16x16:10,7	8	8	2
